dataset,method,probe,test_fold,bin,f1_macro,n_test
aef,ledoit_wolf,linear,4,large(>500),0.7543757034354307,1835
aef,ledoit_wolf,knn,4,overall,0.4824704314377198,17478
aef,ledoit_wolf,knn,4,tiny(<50),0.2876520977863541,2498
aef,ledoit_wolf,knn,4,small(50-150),0.4044499389307006,6773
aef,ledoit_wolf,knn,4,medium(150-500),0.5385478619961566,6372
aef,ledoit_wolf,knn,4,large(>500),0.5765590582471785,1835
aef,ledoit_wolf,linear,5,overall,0.5923342168010556,16640
aef,ledoit_wolf,linear,5,tiny(<50),0.3764377539532034,2437
aef,ledoit_wolf,linear,5,small(50-150),0.5128216014503022,6214
aef,ledoit_wolf,linear,5,medium(150-500),0.6498851400788332,5956
aef,ledoit_wolf,linear,5,large(>500),0.7068170614654699,2033
aef,ledoit_wolf,knn,5,overall,0.4725793946899375,16640
aef,ledoit_wolf,knn,5,tiny(<50),0.3201898460957402,2437
aef,ledoit_wolf,knn,5,small(50-150),0.3901942315866535,6214
aef,ledoit_wolf,knn,5,medium(150-500),0.5100312056232896,5956
aef,ledoit_wolf,knn,5,large(>500),0.5980684650510771,2033
aef,oas,linear,1,overall,0.5914878789960661,17229
aef,oas,linear,1,tiny(<50),0.3300858047543196,2468
aef,oas,linear,1,small(50-150),0.5018825457905861,6598
aef,oas,linear,1,medium(150-500),0.6511302632533006,6256
aef,oas,linear,1,large(>500),0.7108400941707997,1907
aef,oas,knn,1,overall,0.471438577866636,17229
aef,oas,knn,1,tiny(<50),0.3048984277478463,2468
aef,oas,knn,1,small(50-150),0.3912645474924434,6598
aef,oas,knn,1,medium(150-500),0.5091450149277166,6256
aef,oas,knn,1,large(>500),0.5784964246708273,1907
aef,oas,linear,2,overall,0.5957273442283305,17559
aef,oas,linear,2,tiny(<50),0.3619336675095413,2846
aef,oas,linear,2,small(50-150),0.5301103229080817,6651
aef,oas,linear,2,medium(150-500),0.6549072000838856,6126
aef,oas,linear,2,large(>500),0.6994250220300895,1936
aef,oas,knn,2,overall,0.4603146701234796,17559
aef,oas,knn,2,tiny(<50),0.2950170158137673,2846
aef,oas,knn,2,small(50-150),0.3880054072714947,6651
aef,oas,knn,2,medium(150-500),0.5065432842470943,6126
aef,oas,knn,2,large(>500),0.5651749631429674,1936
aef,oas,linear,3,overall,0.5835087436277709,17045
aef,oas,linear,3,tiny(<50),0.3857671080941151,2620
aef,oas,linear,3,small(50-150),0.5111252800592683,6288
aef,oas,linear,3,medium(150-500),0.6381066563383199,6205
aef,oas,linear,3,large(>500),0.7049967356713777,1932
aef,oas,knn,3,overall,0.4699667343615748,17045
aef,oas,knn,3,tiny(<50),0.3158996596293357,2620
aef,oas,knn,3,small(50-150),0.3946271463949563,6288
aef,oas,knn,3,medium(150-500),0.5099819073270878,6205
aef,oas,knn,3,large(>500),0.5523513236497114,1932
aef,oas,linear,4,overall,0.6098865001186158,17478
aef,oas,linear,4,tiny(<50),0.3691701454435711,2498
aef,oas,linear,4,small(50-150),0.5243256678989889,6773
aef,oas,linear,4,medium(150-500),0.6736977480242216,6372
aef,oas,linear,4,large(>500),0.7596085612789291,1835
aef,oas,knn,4,overall,0.482478503804028,17478
aef,oas,knn,4,tiny(<50),0.2877707584345941,2498
aef,oas,knn,4,small(50-150),0.4054975962555962,6773
aef,oas,knn,4,medium(150-500),0.5376975956963012,6372
aef,oas,knn,4,large(>500),0.5765590582471785,1835
aef,oas,linear,5,overall,0.5908596872808114,16640
aef,oas,linear,5,tiny(<50),0.3645138682128148,2437
aef,oas,linear,5,small(50-150),0.5146830872391155,6214
aef,oas,linear,5,medium(150-500),0.6496382072969566,5956
aef,oas,linear,5,large(>500),0.7025571254768974,2033
aef,oas,knn,5,overall,0.4722051793321118,16640
aef,oas,knn,5,tiny(<50),0.3186080066462725,2437
aef,oas,knn,5,small(50-150),0.3902970002776561,6214
aef,oas,knn,5,medium(150-500),0.5105648430171161,5956
aef,oas,knn,5,large(>500),0.5973892043709137,2033
aef,diag_std,linear,1,overall,0.4784463375897461,17229
aef,diag_std,linear,1,tiny(<50),0.3173413712331863,2468
aef,diag_std,linear,1,small(50-150),0.3973258404398322,6598
aef,diag_std,linear,1,medium(150-500),0.511295654295938,6256
aef,diag_std,linear,1,large(>500),0.5872545293683589,1907
aef,diag_std,knn,1,overall,0.4821473503936734,17229
aef,diag_std,knn,1,tiny(<50),0.3102774246673658,2468
aef,diag_std,knn,1,small(50-150),0.4287232550474719,6598
aef,diag_std,knn,1,medium(150-500),0.5072110077719926,6256
aef,diag_std,knn,1,large(>500),0.5790877154821173,1907
aef,diag_std,linear,2,overall,0.4678374497704752,17559
aef,diag_std,linear,2,tiny(<50),0.3105276884993959,2846
aef,diag_std,linear,2,small(50-150),0.396033907416798,6651
aef,diag_std,linear,2,medium(150-500),0.5037922368655705,6126
aef,diag_std,linear,2,large(>500),0.5612591773299808,1936
aef,diag_std,knn,2,overall,0.4684346352454392,17559
aef,diag_std,knn,2,tiny(<50),0.2871664446546644,2846
aef,diag_std,knn,2,small(50-150),0.3913873386647805,6651
aef,diag_std,knn,2,medium(150-500),0.511573330719274,6126
aef,diag_std,knn,2,large(>500),0.5896764691830847,1936
aef,diag_std,linear,3,overall,0.4816476627015544,17045
aef,diag_std,linear,3,tiny(<50),0.3129682450354984,2620
aef,diag_std,linear,3,small(50-150),0.4227608394861505,6288
aef,diag_std,linear,3,medium(150-500),0.522407765525657,6205
aef,diag_std,linear,3,large(>500),0.5585080957707125,1932
aef,diag_std,knn,3,overall,0.4807767444763684,17045
aef,diag_std,knn,3,tiny(<50),0.309865984815229,2620
aef,diag_std,knn,3,small(50-150),0.4105760137732991,6288
aef,diag_std,knn,3,medium(150-500),0.5177480781885893,6205
aef,diag_std,knn,3,large(>500),0.5884276369084938,1932
aef,diag_std,linear,4,overall,0.4847585033909655,17478
aef,diag_std,linear,4,tiny(<50),0.2733491805579435,2498
aef,diag_std,linear,4,small(50-150),0.4086813871166703,6773
