dataset,method,bin,f1,n,best_c
aef,stats,"small
(50-150)",0.5915986955128621,6214,100.0
aef,stats,"medium
(150-500)",0.69390566405879,5956,100.0
aef,stats,"large
(>500)",0.6974837003029999,2033,100.0
aef,std,overall,0.4892082401695548,16640,10.0
aef,std,"tiny
(<50)",0.31145596437943235,2437,10.0
aef,std,"small
(50-150)",0.411316374011404,6214,10.0
aef,std,"medium
(150-500)",0.5383630091863414,5956,10.0
aef,std,"large
(>500)",0.543304112074635,2033,10.0
aef,trimmed_mean,overall,0.6441388470962147,16640,100.0
aef,trimmed_mean,"tiny
(<50)",0.48169230913771227,2437,100.0
aef,trimmed_mean,"small
(50-150)",0.594021897053171,6214,100.0
aef,trimmed_mean,"medium
(150-500)",0.6845275322424831,5956,100.0
aef,trimmed_mean,"large
(>500)",0.6880807125085017,2033,100.0
aef,whitened_mean,overall,0.6449386855374136,16640,10.0
aef,whitened_mean,"tiny
(<50)",0.47259716445788147,2437,10.0
aef,whitened_mean,"small
(50-150)",0.5958318336060403,6214,10.0
aef,whitened_mean,"medium
(150-500)",0.6866745259769371,5956,10.0
aef,whitened_mean,"large
(>500)",0.6926601142388056,2033,10.0
tessera,adaptive_nc_gem,overall,0.49193554261790673,16480,1.0
tessera,adaptive_nc_gem,"tiny
(<50)",0.34112447792559264,2418,1.0
tessera,adaptive_nc_gem,"small
(50-150)",0.48243664398354635,6155,1.0
tessera,adaptive_nc_gem,"medium
(150-500)",0.49924942806336564,5899,1.0
tessera,adaptive_nc_gem,"large
(>500)",0.5527023522841341,2008,1.0
tessera,bovw_128,overall,0.31542253608029364,16480,1.0
tessera,bovw_128,"tiny
(<50)",0.18688764091515842,2418,1.0
tessera,bovw_128,"small
(50-150)",0.31018542177140584,6155,1.0
tessera,bovw_128,"medium
(150-500)",0.32442087649642076,5899,1.0
tessera,bovw_128,"large
(>500)",0.3344926688549002,2008,1.0
tessera,center_weighted_mean,overall,0.4898888507541469,16480,1.0
tessera,center_weighted_mean,"tiny
(<50)",0.3575630264755247,2418,1.0
tessera,center_weighted_mean,"small
(50-150)",0.4835867252365411,6155,1.0
tessera,center_weighted_mean,"medium
(150-500)",0.496646284821071,5899,1.0
tessera,center_weighted_mean,"large
(>500)",0.5276227658906056,2008,1.0
tessera,flattened_cov,overall,0.4593332019804419,16480,1.0
tessera,flattened_cov,"tiny
(<50)",0.29404499880787544,2418,1.0
tessera,flattened_cov,"small
(50-150)",0.4431214327188889,6155,1.0
tessera,flattened_cov,"medium
(150-500)",0.48402085341185025,5899,1.0
tessera,flattened_cov,"large
(>500)",0.5177610954856204,2008,1.0
tessera,gem,overall,0.4816736740357917,16480,1.0
tessera,gem,"tiny
(<50)",0.33480107076724264,2418,1.0
tessera,gem,"small
(50-150)",0.47629396993751577,6155,1.0
tessera,gem,"medium
(150-500)",0.48850524379557597,5899,1.0
tessera,gem,"large
(>500)",0.5253714058617956,2008,1.0
tessera,max,overall,0.45788638248316915,16480,1.0
tessera,max,"tiny
(<50)",0.3261572465312008,2418,1.0
tessera,max,"small
(50-150)",0.43966292520336675,6155,1.0
tessera,max,"medium
(150-500)",0.4691768700899535,5899,1.0
tessera,max,"large
(>500)",0.5129902760522811,2008,1.0
tessera,mean,overall,0.4894376659638387,16480,1.0
tessera,mean,"tiny
(<50)",0.3375753788838499,2418,1.0
tessera,mean,"small
(50-150)",0.48148010096627,6155,1.0
tessera,mean,"medium
(150-500)",0.5007924981168713,5899,1.0
tessera,mean,"large
(>500)",0.5292089117124931,2008,1.0
tessera,mean_max,overall,0.49015591650709056,16480,0.1
tessera,mean_max,"tiny
(<50)",0.3661383589594181,2418,0.1
tessera,mean_max,"small
(50-150)",0.48001956123186695,6155,0.1
tessera,mean_max,"medium
(150-500)",0.49745624800817406,5899,0.1
tessera,mean_max,"large
(>500)",0.5333275270023962,2008,0.1
tessera,mean_std,overall,0.4881569833051002,16480,0.1
tessera,mean_std,"tiny
(<50)",0.3391722551390509,2418,0.1
tessera,mean_std,"small
(50-150)",0.48154124974485707,6155,0.1
tessera,mean_std,"medium
(150-500)",0.5007004177054067,5899,0.1
tessera,mean_std,"large
(>500)",0.527219325524832,2008,0.1
tessera,median_iqr,overall,0.4874594484371885,16480,0.1
tessera,median_iqr,"tiny
(<50)",0.3508006001823935,2418,0.1
tessera,median_iqr,"small
(50-150)",0.48233070352558716,6155,0.1
tessera,median_iqr,"medium
(150-500)",0.4974385523087386,5899,0.1
tessera,median_iqr,"large
(>500)",0.5241774591265385,2008,0.1
tessera,nd_switch,overall,0.4842574050371332,16480,1.0
tessera,nd_switch,"tiny
(<50)",0.3363787687740269,2418,1.0
tessera,nd_switch,"small
(50-150)",0.4666721075180928,6155,1.0
tessera,nd_switch,"medium
(150-500)",0.49586090550561246,5899,1.0
tessera,nd_switch,"large
(>500)",0.5433160936265361,2008,1.0
tessera,pca_64,overall,0.4823469054381775,16480,10.0
tessera,pca_64,"tiny
(<50)",0.3468296727596152,2418,10.0
tessera,pca_64,"small
(50-150)",0.46709638857731967,6155,10.0
tessera,pca_64,"medium
(150-500)",0.4932103453704456,5899,10.0
tessera,pca_64,"large
(>500)",0.5302680850306233,2008,10.0
tessera,percentiles,overall,0.49334048511659795,16480,0.1
tessera,percentiles,"tiny
(<50)",0.3373751530817347,2418,0.1
tessera,percentiles,"small
(50-150)",0.48805579045658987,6155,0.1
tessera,percentiles,"medium
(150-500)",0.5061054243560252,5899,0.1
tessera,percentiles,"large
(>500)",0.524409455742569,2008,0.1
tessera,sign_adaptive_nc_gem,overall,0.4759198374709416,16480,1.0
tessera,sign_adaptive_nc_gem,"tiny
(<50)",0.3093008297399996,2418,1.0
tessera,sign_adaptive_nc_gem,"small
(50-150)",0.4560070883249446,6155,1.0
tessera,sign_adaptive_nc_gem,"medium
(150-500)",0.49735016696760037,5899,1.0
tessera,sign_adaptive_nc_gem,"large
(>500)",0.5333103343992729,2008,1.0
tessera,signed_non_cancelling_gem,overall,0.49149829300567,16480,1.0
tessera,signed_non_cancelling_gem,"tiny
(<50)",0.35191364519048535,2418,1.0
tessera,signed_non_cancelling_gem,"small
(50-150)",0.47800862745915346,6155,1.0
tessera,signed_non_cancelling_gem,"medium
(150-500)",0.5034535231692338,5899,1.0
tessera,signed_non_cancelling_gem,"large
(>500)",0.5492585601622606,2008,1.0
tessera,signed_sqrt_mean,overall,0.48260246197961926,16480,1.0
tessera,signed_sqrt_mean,"tiny
(<50)",0.3327606696103565,2418,1.0
tessera,signed_sqrt_mean,"small
(50-150)",0.4681087884487718,6155,1.0
tessera,signed_sqrt_mean,"medium
(150-500)",0.4935378199378224,5899,1.0
tessera,signed_sqrt_mean,"large
(>500)",0.5455534472567624,2008,1.0
tessera,stats,overall,0.48413661660146207,16480,0.1
tessera,stats,"tiny
(<50)",0.34764789385035494,2418,0.1
tessera,stats,"small
(50-150)",0.47409121800380166,6155,0.1
tessera,stats,"medium
(150-500)",0.49696573723148596,5899,0.1
tessera,stats,"large
(>500)",0.5175012734042511,2008,0.1
tessera,std,overall,0.4062507012102337,16480,1.0
tessera,std,"tiny
(<50)",0.2597087241474858,2418,1.0
tessera,std,"small
(50-150)",0.39621107168918335,6155,1.0
tessera,std,"medium
(150-500)",0.42103662593444025,5899,1.0
tessera,std,"large
(>500)",0.4494631377663992,2008,1.0
tessera,trimmed_mean,overall,0.487778605087652,16480,1.0
tessera,trimmed_mean,"tiny
(<50)",0.33922195562778235,2418,1.0
tessera,trimmed_mean,"small
(50-150)",0.4790858644442408,6155,1.0
tessera,trimmed_mean,"medium
(150-500)",0.4991253288315268,5899,1.0
tessera,trimmed_mean,"large
(>500)",0.5252324665022681,2008,1.0
tessera,whitened_mean,overall,0.4879897682898096,16480,0.1
tessera,whitened_mean,"tiny
(<50)",0.34292707956175733,2418,0.1
tessera,whitened_mean,"small
(50-150)",0.4856442891336416,6155,0.1
tessera,whitened_mean,"medium
(150-500)",0.49359252475880644,5899,0.1
tessera,whitened_mean,"large
(>500)",0.5270118368648432,2008,0.1
olmoearth,adaptive_nc_gem,overall,0.5267421662533226,16640,100.0
olmoearth,adaptive_nc_gem,"tiny
(<50)",0.3094063997963265,2437,100.0
olmoearth,adaptive_nc_gem,"small
(50-150)",0.42721581129435227,6214,100.0
olmoearth,adaptive_nc_gem,"medium
(150-500)",0.582491164752632,5956,100.0
olmoearth,adaptive_nc_gem,"large
(>500)",0.6561583072278683,2033,100.0
olmoearth,bovw_128,overall,0.23025544632413006,16640,0.1
olmoearth,bovw_128,"tiny
(<50)",0.15272206167339875,2437,0.1
olmoearth,bovw_128,"small
(50-150)",0.1773976477073257,6214,0.1
olmoearth,bovw_128,"medium
(150-500)",0.24074384173965027,5956,0.1
olmoearth,bovw_128,"large
(>500)",0.26579425136224266,2033,0.1
olmoearth,center_weighted_mean,overall,0.5481504221685873,16640,10.0
olmoearth,center_weighted_mean,"tiny
(<50)",0.3238715066059869,2437,10.0
olmoearth,center_weighted_mean,"small
(50-150)",0.46019502533517187,6214,10.0
olmoearth,center_weighted_mean,"medium
(150-500)",0.6088211112818226,5956,10.0
olmoearth,center_weighted_mean,"large
(>500)",0.6468010979625755,2033,10.0
olmoearth,flattened_cov,overall,0.43702538946323677,16640,0.01
